uid,base_price,special_price,ap_start_date,ap_end_date,duration,service_name,service_caption,service_group_name,service_pricing_id,created_date,updated_date,appointment_id,final_price,deleted,booking_id,extra_time
51,5,5,2025-07-11 09:25:00,2025-07-11 09:30:00,5,Eyebrows,THREADING,"",771,2025-07-11 08:28:50.939201,2025-07-11 08:28:50.939201,353799,5,f,145915,
51,4,4,2025-07-11 09:30:00,2025-07-11 09:35:00,5,Upper Lip,WAXING,"",774,2025-07-11 08:28:50.939201,2025-07-11 08:28:50.939201,353800,4,f,145915,
73,35,35,2025-07-11 10:00:00,2025-07-11 11:00:00,60,Your Colour Application (Roots) From,,"",736,2025-07-11 08:48:03.498772,2025-07-11 08:48:03.498772,353808,35,f,146130,
73,50,50,2025-07-12 16:30:00,2025-07-12 17:30:00,60,Wash/Cut/Blow Dry,Long price,"",391,2025-07-11 08:54:42.138606,2025-07-11 08:54:42.138606,353809,50,f,146131,
73,15,15,2025-07-12 17:30:00,2025-07-12 17:45:00,15,Hair Wash,,"",684,2025-07-11 08:54:42.138606,2025-07-11 08:54:42.138606,353810,15,f,146131,
73,45,45,2025-07-12 15:00:00,2025-07-12 16:30:00,90,Root's Colour From,,"",734,2025-07-11 08:54:42.138606,2025-07-11 08:54:42.138606,353811,45,f,146131,
101,35,35,2025-07-12 14:30:00,2025-07-12 15:00:00,30,DRY CUT,Medium price,"",385,2025-07-11 08:55:55.512571,2025-07-11 08:55:55.512571,353812,35,f,146132,
36,25,25,2025-07-11 10:35:00,2025-07-11 10:50:00,15,Half Legs,Strip Wax,"",214,2025-07-11 07:15:05.156295,2025-07-11 07:15:05.156295,353788,25,f,146117,
54,20,20,2025-07-11 18:15:00,2025-07-11 18:40:00,25,Shellac Polish (Shape & Polish),,"",477,2025-07-11 08:06:57.397308,2025-07-11 08:06:57.397308,353794,20,f,146122,
44,20,16,2025-07-11 11:30:00,2025-07-11 12:10:00,40,Wash and Blow Dry,Short price,"",608,2025-07-11 08:05:10.953423,2025-07-11 08:05:10.953423,353791,16,f,146120,
